Title,Alternative Title,Description,Display Note,Creator,Creator ID,Publisher,Provider,Resource Class,Resource Type,Subject,Theme,Keyword,Language,B1G Language,Local Collection,Temporal Coverage,Date Issued,Index Year,Date Range,Spatial Coverage,Bounding Box,Geometry,Centroid,GeoNames,Coordinate Reference System,Spatial Resolution in Meters,Spatial Resolution as Text,Georeferenced,Provenance,Publication State,Website Platform,Endpoint URL,Endpoint Description,Is Harvested,Last Harvested,Accrual Method,Accrual Periodicity,Harvest Workflow,Created At,Updated At,Date Accessioned,Date Retired,Format,File Size,B1G Image,Member Of,Is Part Of,Source,Is Version Of,Replaces,Is Replaced By,Relation,Rights,License,Rights Holder,Access Rights,Suppressed Record,Deprioritized,Mediator,Access,ID,Identifier,WxS Identifier,Code,Tags,Admin Note,Due Date,Due Status,Days Until Due,Review Date,Review Status,Website Title,Website Creator,Website Publisher,Website Provider,Website Spatial Coverage,Website Bounding Box,Website Geometry,Website Centroid,Website Member Of,Website Is Part Of,Website ID,Website Identifier,Website Code,Website Harvest Workflow,Effective Harvest Workflow,Website Match Count,Website Name
"Harvest record for Purdue Campus Maps: West Lafayette, Indiana, 1890-2014",,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-05-07 / harvest,draft,Custom HTML/JS,,,,2021-05-07,Manual curation,Irregular,template_children,2026-03-28 16:05:07 -0500,2026-04-15 18:02:27 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_09d-02,09d-02,,09d-02,review:1y,,,No Schedule,,2022-05-07,Due,"Purdue Campus Maps: West Lafayette, Indiana, 1890-2014",,,Purdue University,Indiana--West Lafayette|Indiana,"-86.936,40.402,-86.902,40.442","POLYGON((-86.936 40.442, -86.902 40.442, -86.902 40.402, -86.936 40.402, -86.936 40.442))","40.422,-86.91900000000001",64bd8c4c-8e60-4956-b43d-bdc3f93db488|dc8c18df-7d64-4ff4-a754-d18d0891187d,,09d-02,https://collections.lib.purdue.edu/campus,09d-02,,template_children,1,
Harvest record for Social Explorer,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,,,,,2021-04-27,Manual curation,Irregular,template_children,2026-03-28 16:05:10 -0500,2026-04-15 18:02:12 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_999-0001,999-0001,,999-0001,review:1y,,,No Schedule,,2022-04-27,Due,Social Explorer,,Queens College Department of Sociology,,United States,"-179.9,-14.8,-64.4,71.6","POLYGON((-179.9 71.6, -64.4 71.6, -64.4 -14.8, -179.9 -14.8, -179.9 71.6))","28.4,-122.15",999-licensed-resources,,999-0001,,999-0001,,template_children,1,
Harvest record for The Newberry Library Digital Collections,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2025-09-20 / harvest,draft,,,,,2025-09-20,Manual curation,Irregular,template_children,2026-03-28 16:05:10 -0500,2026-04-15 21:09:48 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_77d-0004,77d-0004,,77d-0004,review:1y,,,No Schedule,,2026-09-20,Scheduled,The Newberry Library Digital Collections,The Newberry Library,,,,,,,dc8c18df-7d64-4ff4-a754-d18d0891187d,,77d-0004,https://collections.newberry.org,77d-0004,,template_children,1,
Harvest record for University of Minnesota Digital Conservancy DRUM,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2021-04-26 / harvest,draft,DSpace,,,,2021-04-26,Manual curation,Irregular,template_children,2026-03-28 16:05:05 -0500,2026-04-15 18:02:23 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05d-03,05d-03,,05d-03,ogm|review:1y,,,No Schedule,,2022-04-26,Due,University of Minnesota Digital Conservancy DRUM,University of Minnesota,,University of Minnesota,,"-180.000,-90.000,180.000,90.000","ENVELOPE(-180,180,90,-90)","0.0,0.0",dc8c18df-7d64-4ff4-a754-d18d0891187d,,05d-03,https://conservancy.umn.edu/handle/11299/166578,05d-03,,template_children,1,
Harvest record for Wabash River Historical Maps and Imagery,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-05-07 / harvest,draft,ArcGIS Web Application,,,,2021-05-07,Manual curation,Irregular,template_children,2026-03-28 16:05:07 -0500,2026-04-15 21:07:54 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_09d-01,09d-01,,09d-01,queue:pending_review,2026-04-15 ~ web service link is not working,,No Schedule,,2026-04-25,Due,Wabash River Historical Maps and Imagery,,,Purdue University,Indiana|Indiana--Wabash River,"-87.529,39.400,-86.207,40.801","POLYGON((-87.529 40.801, -86.207 40.801, -86.207 39.400, -87.529 39.400, -87.529 40.801))","40.1005,-86.868",64bd8c4c-8e60-4956-b43d-bdc3f93db488|dc8c18df-7d64-4ff4-a754-d18d0891187d,,09d-01,https://mapsweb.lib.purdue.edu/wabashriver/,09d-01,,template_children,1,
Harvest record for standalone resources,,"A grouping for one off datasets, maps or other resources that are not part of a group submission",,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2023-01-01 / harvest,draft,,,,,2023-01-01,Manual curation,Irregular,template_children,2026-03-29 11:35:50 -0500,2026-04-15 18:02:23 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_standalone_resources,,,r00_01,review:1y,,,No Schedule,,2024-01-01,Due,,,,,,,,,,,,,,,template_children,0,
Harvest record for Bituminous coal mine maps of Pennsylvania,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2023-09-01 / harvest,draft,CONTENTdm,,,,2023-09-01,Mediated deposit,Irregular,template_csv,2026-03-28 16:05:06 -0500,2026-04-15 18:02:25 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_08d-03,08d-03,,08d-03,ogm,,,No Schedule,,,No Review,Bituminous coal mine maps of Pennsylvania,United States. Works Progress Administration,,Pennsylvania State University,Pennsylvania,"-80.52,39.72,-74.69,42.51","POLYGON((-80.52 42.51, -74.69 42.51, -74.69 39.72, -80.52 39.72, -80.52 42.51))","41.114999999999995,-77.60499999999999",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,08d-03,https://libraries.psu.edu/about/collections/bituminous-coal-mine-maps-pennsylvania,08d-03,,template_csv,1,
"Harvest record for Center for Ancient Middle Eastern Landscapes, Institute for the Study of Ancient Cultures, University of Chicago",,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2024-01-01 / harvest,draft,PHP,https://github.com/uchicago-its-web-services/camel-btaa,GitHub,,2024-01-01,Mediated deposit,Irregular,template_csv,2026-03-28 16:05:02 -0500,2026-04-15 18:02:26 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_12d-04,12d-04,,12d-04,ogm|review:1y,,,No Schedule,,2025-01-01,Due,"Center for Ancient Middle Eastern Landscapes, Institute for the Study of Ancient Cultures, University of Chicago",University of Chicago,,University of Chicago,,,,,b0153110-e455-4ced-9114-9b13250a7093,,12d-04,https://camelab.uchicago.edu/collections/,12d-04,,template_csv,1,
Harvest record for Clark Library Scanned Maps,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-04-16 / harvest,draft,jsDelivr,,,,2021-04-16,Mediated deposit,Irregular,template_csv,2026-03-28 16:05:05 -0500,2026-04-15 18:02:25 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_07d-01,07d-01,,07d-01,ogm|review:2y,,,No Schedule,,2023-04-16,Due,Clark Library Scanned Maps,University of Michigan,,University of Michigan,Michigan|World,"-180.000,-90.000,180.000,90.000","ENVELOPE(-180,180,90,-90)","0.0,0.0",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,07d-01,https://quod.lib.umich.edu/c/clark1ic?page=index,07d-01,,template_csv,1,
Harvest record for Donald W. Hamer Center for Maps and Geospatial Information Digital Map Drawer of Penn State Rare Maps,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,CONTENTdm,,,,2021-04-27,Mediated deposit,Irregular,template_csv,2026-03-28 16:05:05 -0500,2026-04-15 18:02:25 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_08d-01,08d-01,,08d-01,ogm|review:2y,,,No Schedule,,2023-04-27,Due,Donald W. Hamer Center for Maps and Geospatial Information Digital Map Drawer of Penn State Rare Maps,Pennsylvania State University,,Pennsylvania State University,Pennsylvania|World,"-180.000,-90.000,180.000,90.000","ENVELOPE(-180,180,90,-90)","0.0,0.0",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,08d-01,https://libraries.psu.edu/about/collections/digital-map-drawer,08d-01,,template_csv,1,
Harvest record for ERDDAP,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2025-09-22 / harvest,draft,Custom HTML/JS,https://hfr.marine.rutgers.edu/erddap/info/index.csv,CSV endpoint,,2025-09-22,Automated retrieval,Irregular,template_csv,2026-03-28 16:04:24 -0500,2026-04-15 18:01:52 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_14d-02,14d-02,,14d-02,ogm|review:1y,"Updated from https://hfr.marine.rutgers.edu/erddap/index.html September 22, 2025",,No Schedule,,2026-09-22,Scheduled,ERDDAP,United States. National Oceanic and Atmospheric Administration,United States. National Oceanic and Atmospheric Administration,Rutgers University-New Brunswick,United States|New Jersey,,,,,,14d-02,https://hfr.marine.rutgers.edu/erddap/index.html,14d-02,,template_csv,1,
Harvest record for Early Modern Maps of the Americas,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,Django,,,,2021-04-27,Mediated deposit,Irregular,template_csv,2026-03-28 16:05:06 -0500,2026-04-15 18:02:26 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_12d-02,12d-02,,12d-02,ogm|review:2y,,,No Schedule,,2023-04-27,Due,Early Modern Maps of the Americas,University of Chicago,,University of Chicago,World,"-180.000,-90.000,180.000,90.000","ENVELOPE(-180,180,90,-90)","0.0,0.0",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,12d-02,https://www.lib.uchicago.edu/collex/collections/early-modern-maps-americas/,12d-02,,template_csv,1,
Harvest record for GeoDa Data and Lab,,,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2024-03-01 / harvest / added website and 73 records from GitHub,draft,GitHub,,GitHub downloads,,2024-03-01,Manual curation,Irregular,template_csv,2026-04-13 21:54:32 -0500,2026-04-15 18:02:21 -0500,,,,,,,,,,,,,,,,Public,,,,,harvest_12d-05,12d-05,,12d-05,review:2y,,,No Schedule,,2026-03-01,Due,GeoDa Data and Lab,"Anselin, Luc",University of Chicago Center for Spatial Data Science,University of Chicago,,,,,b0153110-e455-4ced-9114-9b13250a7093,,12d-05,https://geodacenter.github.io/data-and-lab/,12d-05,,template_csv,1,
Harvest record for Geology Library and Map Room: The Ohio State University,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2022-06-10 / harvest,draft,Blacklight,,,,2022-06-10,Mediated deposit,Irregular,template_csv,2026-03-28 16:05:06 -0500,2026-04-15 18:02:26 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_11d-02,11d-02,,11d-02,ogm|review:2y,,,No Schedule,,2024-06-10,Due,Geology Library and Map Room: The Ohio State University,The Ohio State University,,The Ohio State University,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,,11d-02,https://library.osu.edu/dc,11d-02,,template_csv,1,
Harvest record for Indiana Sanborn Maps,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2024-03-07 / harvest,draft,IU DataCORE,,,,2024-03-07,Mediated deposit,Irregular,template_csv,2026-03-28 16:05:05 -0500,2026-04-15 18:02:26 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_01d-05,01d-05,,01d-05,ogm|review:1y,,,No Schedule,,2025-03-07,Due,Indiana Sanborn Maps,Indiana University,,Indiana University,Indiana,"-88.0997,37.7717,-84.7846,41.7614","POLYGON((-88.0997 41.7614, -84.7846 41.7614, -84.7846 37.7717, -88.0997 37.7717, -88.0997 41.7614))","39.76655,-86.44215",64bd8c4c-8e60-4956-b43d-bdc3f93db488|b35f927e-9051-4d7f-9ca3-ad5b19024e0b,,01d-05,https://datacore.iu.edu,01d-05,,template_csv,1,
Harvest record for Indiana University Digital Collections,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2025-08-06 / harvest,draft,Samvera Hyrax,,,,2025-08-06,Mediated deposit,Irregular,template_csv,2026-03-28 16:05:04 -0500,2026-04-15 18:02:29 -0500,2025-08-06,,,,,,,,,,,,,,,Public,true,,,,harvest_01d-00,01d-00,,01d-00,ogm|queue:pending_review,"PURLS not working

Indiana historic maps - these seem to work
Kinsey Maps - these produce error code 500 (Internal server error)
Russian Topo - these produce error code 404 (not found)",,No Schedule,,2026-04-25,Due,Indiana University IUB Map Collections,Indiana University,,Indiana University,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,,01d-00,https://digitalcollections.iu.edu,01d-00,,template_csv,1,
Harvest record for International Conflict Research,,,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2022-05-28 / harvest / added website and 2 datasets|2026-04-24 / review / all links valid|2026-04-24/ ingest / created GeoPackage copy of Cshapes,draft,,,,,2026-04-24,Manual curation,Irregular,template_csv,2026-04-13 22:16:05 -0500,2026-04-25 16:40:55 -0500,2022-05-28,,,,,,,,,,,,,,,Public,,,,,harvest_55d-0001,55d-0001,,55d-0001,review:2y,"Original issue https://github.com/geobtaa/metadata/issues/29|2026-04-13 ~ site is not loading
2026-04-24 ~ site loading but slow",,No Schedule,,2028-04-24,Scheduled,International Conflict Research,,Eidgenössische Technische Hochschule Zürich,,,,,,b0153110-e455-4ced-9114-9b13250a7093,,55d-0001,https://icr.ethz.ch,w00_01,,template_csv,1,
Harvest record for Land-Grab Universities project,,,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2021-12-17 / harvest / Manually created records for website and 3 shapefiles|2026-04-22 / review / all links valid,draft,,,,,2026-04-22,Manual curation,Irregular,template_csv,2026-04-13 20:13:03 -0500,2026-04-25 11:22:11 -0500,2021-12-21,,,,,,,,,,,,,,,Public,,,,,harvest_77f-01,landgrabu_org,,77f-01,review:2y,,,No Schedule,,2028-04-22,Scheduled,Land Grab Universities Interactive Map,Robert Lee|Tristan Ahtone|Margaret Pearce|Kalen Goodluck|Geoff McGhee|Cody Leff|Katherine Lanpher|Taryn Salinas,High Country News,,United States,"-168.8,12.3,-64.4,71.6","POLYGON((-168.8 71.6, -64.4 71.6, -64.4 12.3, -168.8 12.3, -168.8 71.6))","41.949999999999996,-116.60000000000001",b0153110-e455-4ced-9114-9b13250a7093,,landgrabu_org,https://www.landgrabu.org,77f-01,,template_csv,1,
Harvest record for MN Digital Library CSV submissions,,temporary harvest record for MDL with CSVs submissions,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2026-03-16 / harvest / 99 maps from Iron Range Research Center,draft,CONTENTdm-Blacklight,,,,2026-03-16,Mediated deposit,Irregular,template_csv,2026-03-30 13:52:02 -0500,2026-04-15 18:02:30 -0500,,,,,,,,,,,,,,,,Public,,,,,harvest_05d-13_csv,05d-13,,05d-13,review:1y,,,No Schedule,,2027-03-16,Scheduled,Minnesota Digital Library,University of Minnesota,,University of Minnesota,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,05d-13,05d-13,https://mndigital.org,05d-13,,template_csv,1,
Harvest record for Minnesota Natural Resource Atlas,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2022-05-20 / harvest,draft,Custom data portal,,,,2022-05-20,Mediated deposit,Irregular,template_csv,2026-03-28 16:05:07 -0500,2026-04-15 18:02:02 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05d-11,05d-11,,05d-11,review:1y,,,No Schedule,,2023-05-20,Due,Minnesota Natural Resource Atlas,Natural Resources Research Institute,University of Minnesota Duluth,,Minnesota,"-97.24,43.5,-89.48,49.38","POLYGON((-97.24 49.38, -89.48 49.38, -89.48 43.5, -97.24 43.5, -97.24 49.38))","46.44,-93.36",b0153110-e455-4ced-9114-9b13250a7093,,05d-11,https://mnatlas.org,05d-11,,template_csv,1,
Harvest record for New Jersey Farmland Preservation Program Maps,,,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2023-03-13 / harvest / website and 22 records,draft,Static download page,,,,2023-03-13,Manual curation,Irregular,template_csv,2026-04-13 22:06:41 -0500,2026-04-15 18:02:30 -0500,2023-03-13,,,,,,,,,,,,,,,Public,,,,,harvest_14a-03,14a-03,,14a-03,review:2y,https://github.com/geobtaa/metadata/issues/169,,No Schedule,,2025-03-13,Due,New Jersey Farmland Preservation Program Maps,New Jersey. State Agriculture Development Committee,,,New Jersey,"-75.563,38.791,-73.894,41.357","POLYGON((-75.563 41.357, -73.894 41.357, -73.894 38.791, -75.563 38.791, -75.563 41.357))","40.074,-74.7285",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,14a-03,https://www.nj.gov/agriculture/sadc/farmpreserve/progress/maps/,14a-03,,template_csv,1,
Harvest record for Polar Geospatial Center,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2021-04-26 / harvest,draft,Angular JS,,,,2021-04-26,Mediated deposit,Irregular,template_csv,2026-03-28 16:05:05 -0500,2026-04-15 18:02:08 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05d-06,05d-06,,05d-06,ogm|review:1y,,,No Schedule,,2022-04-26,Due,Polar Geospatial Center,University of Minnesota,,University of Minnesota,Antarctica|Greenland|Arctic,"-180.000,-90.000,180.000,90.000","ENVELOPE(-180,180,90,-90)","0.0,0.0",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,05d-06,https://maps.apps.pgc.umn.edu/,05d-06,,template_csv,1,
"Harvest record for Sanborn Maps: Pennsylvania, 1884-1938",,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,CONTENTdm,,,,2021-04-27,Mediated deposit,Irregular,template_csv,2026-03-28 16:05:06 -0500,2026-04-15 18:02:28 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_08d-02,08d-02,,08d-02,ogm|review:2y,,,No Schedule,,2023-04-27,Due,"Sanborn Maps: Pennsylvania, 1884-1938",Pennsylvania State University,,Pennsylvania State University,Pennsylvania,"-80.521,39.720,-74.689,42.515","POLYGON((-80.521 42.515, -74.689 42.515, -74.689 39.720, -80.521 39.720, -80.521 42.515))","41.1175,-77.60499999999999",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,08d-02,https://libraries.psu.edu/about/collections/sanborn-fire-insurance-maps,08d-02,,template_csv,1,
Harvest record for Social Scientists Map Chicago Collection,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,Django,,,,2021-04-27,Mediated deposit,Irregular,template_csv,2026-03-28 16:05:06 -0500,2026-04-15 19:40:04 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_12d-01,12d-01,,12d-01,ogm|review:2y,This set of 46 items was contributed while the library was still using Django. We enriched the metadata and shared the records in several places. We will keep the original IDs and records and exclude them from U.Chicago 12d-00 harvests.,,No Schedule,,2023-04-27,Due,Social Scientists Map Chicago Collection,University of Chicago,,University of Chicago,Illinois--Chicago|Illinois,"-87.940,41.644,-87.524,42.023","POLYGON((-87.940 42.023, -87.524 42.023, -87.524 41.644, -87.940 41.644, -87.940 42.023))","41.8335,-87.732",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,12d-01,https://www.lib.uchicago.edu/collex/collections/social-scientists-map-chicago/,12d-01,,template_csv,1,
Harvest record for UMedia: University of Minnesota CSVs,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2026-03-15 / harvest / 456 maps from University Archives,draft,CONTENTdm-RubyOnRails,https://umedia.lib.umn.edu/search.json,JSON API,,2026-03-15,Mediated deposit,Irregular,template_csv,2026-03-28 16:05:03 -0500,2026-04-15 18:02:30 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05d-01_csv,05d-01,,05d-01,ogm,,,No Schedule,,,No Review,UMedia: University of Minnesota,University of Minnesota,,University of Minnesota,Minnesota|World,"-180.000,-90.000,180.000,90.000","ENVELOPE(-180,180,90,-90)","0.0,0.0",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,05d-01,https://umedia.lib.umn.edu/search?facets%5Bcontributing_organization_name_s%5D%5B%5D=University+of+Minnesota+Libraries%2C+John+R.+Borchert+Map+Library.,05d-01,,template_csv,1,
Harvest record for University of Iowa Campus Map Features,,,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,,draft,Esri Rest services,https://maps.facilities.uiowa.edu/arcgis/rest/services/Base,REST service,,2021-09-25,Manual curation,Irregular,template_csv,2026-04-10 06:16:46 -0500,2026-04-15 19:53:42 -0500,,,,,,,,,,,,,,,,Public,,,,,harvest_03d-04,03d-04,,03d-04,review:2y,Don't recall adding this - could make layers for the services,,No Schedule,,2023-09-25,Due,,,,,,,,,,,,,,,template_csv,0,
"Harvest record for University of Maryland: U.S. Government Information, Maps, & GIS Services",,,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2023-01-01 / harvest,draft,,,,,2023-01-01,Mediated deposit,Irregular,template_json,2026-04-15 21:05:46 -0500,2026-04-15 21:05:46 -0500,2019-11-04,,,,,,,,,,,,,,,Public,,,,,harvest_04d-02,04d-02,,04d-02,review:2y,,,No Schedule,,2025-01-01,Due,,,,,,,,,,,,,,,template_json,0,
Harvest record for Capital Area Open Data Portal,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,,draft,ArcGIS Hub,https://data-carpc.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Irregular,template_website,2026-03-28 16:04:31 -0500,2026-04-15 18:02:20 -0500,2025-08-09,,,,,,,,,,,,,,,Public,true,,,,harvest_10b-55025-01,10b-55025-01,,10b-55025-01,,"2026-04-13 ~ most records are web apps, need to visit ArcGIS Online to download more datasets",,No Schedule,,,No Review,Capital Area Open Data Portal,The Capital Area Regional Planning Commission,Wisconsin--Dane County,,Wisconsin--Dane County|Wisconsin,"-89.567,42.998,-89.246,43.172","POLYGON((-89.567 43.172, -89.246 43.172, -89.246 42.998, -89.567 42.998, -89.567 43.172))","43.084999999999994,-89.4065",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,10b-55025-01,https://data-carpc.opendata.arcgis.com,10b-55025,,template_website,1,
Harvest record for Carlton County Open Data,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,,draft,ArcGIS Hub,https://data-carltoncounty.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,,Automated retrieval,Irregular,template_website,2026-04-13 21:33:38 -0500,2026-04-15 18:02:21 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05b-27017,05b-27017,,05b-27017,review:1y,"2026-02 ~ Harvests many unwanted records. Data portal home page is published, but endpoint is excluded from hub harvest list. ",,No Schedule,,,No Review,Carlton County Open Data,,Minnesota--Carlton County,,Minnesota--Carlton County|Minnesota,"-93.065,46.417,-92.292,46.769","POLYGON((-93.065 46.769, -92.292 46.769, -92.292 46.417, -93.065 46.417, -93.065 46.769))","46.593,-92.6785",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,05b-27017,https://data-carltoncounty.opendata.arcgis.com,05b-27017,,template_website,1,
Harvest record for standalone websites,,"A grouping of websites that provide geospatial data or services but are not currently indexed for individual dataset records. These resources are monitored periodically to verify availability, detect platform or URL changes, and identify opportunities for future harvesting (e.g., migration to ArcGIS Hub or other harvestable platforms).",,,,,,Series,,,,,,,,,,,,,,,,,,,,,2025-06-01 / edit / child records removed|2025-08-01 / review / review completed|2026-04-15 / harvest / added Travel Midwest website,draft,,,,,2025-08-01,Manual curation,Irregular,template_website,2026-03-28 09:53:52 -0500,2026-04-15 18:02:33 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_standalone_websites,,,w00_01,review:1y,,,No Schedule,,2026-08-01,Scheduled,,,,,,,,,,,,,,,template_website,0,
Harvest record for 17d-01 Oregon Digital Oregon Maps,,Harvest record.,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,"2026-03-16 / harvest / 210 maps; IIIF Cors not enabled, awaiting response",draft,Samvera Hyrax,https://oregondigital.org/catalog?f%5Bnon_user_collections_ssim%5D%5B%5D=ormaps,Collection of records,,2026-03-30,Automated retrieval,Irregular,,2026-03-26 14:03:01 -0500,2026-04-15 19:43:06 -0500,2026-03-26,,,,,,,,,,,,,,,Restricted,,,,,harvest_17d-01,,,17d-01,review:1y,CORS not set for IIIF yet; Used Link Klipper to download all 213 links to desktop as a CSV. The CSV will be used as an Input.,,No Schedule,,2027-03-30,Scheduled,,,,,,,,,,,,,,,unspecified,0,
