Title,Alternative Title,Description,Display Note,Creator,Creator ID,Publisher,Provider,Resource Class,Resource Type,Subject,Theme,Keyword,Language,B1G Language,Local Collection,Temporal Coverage,Date Issued,Index Year,Date Range,Spatial Coverage,Bounding Box,Geometry,Centroid,GeoNames,Coordinate Reference System,Spatial Resolution in Meters,Spatial Resolution as Text,Georeferenced,Provenance,Publication State,Website Platform,Endpoint URL,Endpoint Description,Is Harvested,Last Harvested,Accrual Method,Accrual Periodicity,Harvest Workflow,Created At,Updated At,Date Accessioned,Date Retired,Format,File Size,B1G Image,Member Of,Is Part Of,Source,Is Version Of,Replaces,Is Replaced By,Relation,Rights,License,Rights Holder,Access Rights,Suppressed Record,Deprioritized,Mediator,Access,ID,Identifier,WxS Identifier,Code,Tags,Admin Note,Due Date,Due Status,Days Until Due,Review Date,Review Status,Website Title,Website Creator,Website Publisher,Website Provider,Website Spatial Coverage,Website Bounding Box,Website Geometry,Website Centroid,Website Member Of,Website Is Part Of,Website ID,Website Identifier,Website Code,Website Harvest Workflow,Effective Harvest Workflow,Website Match Count,Website Name
Harvest record for UMedia: University of Minnesota python harvest,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2025-12-31 / harvest,draft,CONTENTdm-RubyOnRails,https://umedia.lib.umn.edu/search.json,JSON API,,2025-12-31,Automated retrieval,Irregular,py_umedia,2026-03-28 16:05:03 -0500,2026-04-15 18:02:28 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05d-01_py,05d-01,,05d-01,ogm,,,No Schedule,,,No Review,UMedia: University of Minnesota,University of Minnesota,,University of Minnesota,Minnesota|World,"-180.000,-90.000,180.000,90.000","ENVELOPE(-180,180,90,-90)","0.0,0.0",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,05d-01,https://umedia.lib.umn.edu/search?facets%5Bcontributing_organization_name_s%5D%5B%5D=University+of+Minnesota+Libraries%2C+John+R.+Borchert+Map+Library.,05d-01,,py_umedia,1,
Harvest record for American Panorama,,Harvest record - temporary,,,,,,Series,,Mixed,,,,,,,,,,,,,,,,,,,2025-09-20 / harvest,draft,,,,,2025-09-20,Manual curation,Irregular,template_children,2026-03-28 16:05:10 -0500,2026-04-15 18:02:31 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_20d-0005,20d-0005,,20d-0005,review:1y,,,No Schedule,,2026-09-20,Scheduled,American Panorama,"Nelson, Robert K.|LaDale Winling","Digital Scholarship Lab, University of Richmond",,United States,,"MULTIPOLYGON(((-178.44 28.52, -154.76 28.52, -154.76 18.86, -178.44 18.86, -178.44 28.52)),((-125.11 49.19, -66.66 49.19, -66.66 24.82, -125.11 24.82, -125.11 49.19)),((-179.3 51.1, -129.9 51.1, -129.9 71.5, -179.3 71.5, -179.3 51.1)))",,,,20d-0005,https://dsl.richmond.edu/panorama/,20d-0005,,template_children,1,
Harvest record for Digital Sanborn Maps (Black & White) [All States] {1867-1970},,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,,,,,2021-04-27,Manual curation,Irregular,template_children,2026-03-28 16:05:11 -0500,2026-04-15 18:02:29 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_999-0011,999-0011,,999-0011,review:2y,,,No Schedule,,2023-04-27,Due,Digital Sanborn Maps (Black & White) [All States] {1867-1970},Sanborn Map Company,ProQuest Information and Learning,,United States,"-179.9,-14.8,-64.4,71.6","MULTIPOLYGON(((-178.44 28.52, -154.76 28.52, -154.76 18.86, -178.44 18.86, -178.44 28.52)),((-125.11 49.19, -66.66 49.19, -66.66 24.82, -125.11 24.82, -125.11 49.19)),((-179.3 51.1, -129.9 51.1, -129.9 71.5, -179.3 71.5, -179.3 51.1)))","28.4,-122.15",999-licensed-resources,,999-0011,,999-0011,,template_children,1,
Harvest record for DigitalCommons@University of Nebraska-Lincoln,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2025-09-19 / review,draft,HTML/JS,oai:digitalcommons.unl.edu,OAI-PMH,,2025-09-19,Manual curation,Irregular,template_children,2026-03-28 16:05:09 -0500,2026-04-15 18:02:26 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_13d-01,13d-01,,13d-01,ogm|review:1y,,,No Schedule,,2026-09-19,Scheduled,DigitalCommons@University of Nebraska-Lincoln,University of Nebraska-Lincoln,,University of Nebraska-Lincoln,,,,,dc8c18df-7d64-4ff4-a754-d18d0891187d,,13d-01,https://digitalcommons.unl.edu/,13d-01,,template_children,1,
Harvest record for Dividing the City: Race-Restrictive Covenants in St. Louis and St. Louis County,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2023-05-11 / harvest,draft,GitHub,,,,2023-05-11,Manual curation,Irregular,template_children,2023-05-11 19:17:32 -0500,2026-04-15 18:01:51 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_03d-02,b492921b-eebf-442f-acb4-1dc6b0d21cc8,,03d-02,ogm|review:2y,,,No Schedule,,2025-05-11,Due,Dividing the City: Race-Restrictive Covenants in St. Louis and St. Louis County,Colin Gordon|Jay Bowen|University of Iowa Digital Scholarship and Publishing Studio,University of Iowa Digital Scholarship and Publishing Studio,University of Iowa,Missouri--Saint Louis|Missouri--Saint Louis County|Missouri,"-90.736,38.386,-90.118,38.892","POLYGON((-90.736 38.892, -90.118 38.892, -90.118 38.386, -90.736 38.386, -90.736 38.892))","38.639,-90.42699999999999",,,b492921b-eebf-442f-acb4-1dc6b0d21cc8,,03d-02,,template_children,1,
Harvest record for Fire Insurance Maps Online (FIMo) [All States],,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-04-27 / harvest,draft,,,,,2021-04-27,Manual curation,Irregular,template_children,2026-03-28 16:05:10 -0500,2026-04-15 18:02:29 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_999-0010,999-0010,,999-0010,review:2y,,,No Schedule,,2023-04-27,Due,Fire Insurance Maps Online (FIMo) [All States],,"Historical Information Gatherers, Inc",,Alabama|Alaska|Arizona|Arkansas|California|Colorado|Connecticut|Delaware|District of Columbia|Florida|Georgia|Hawaii|Idaho|Illinois|Indiana|Iowa|Kansas|Kentucky|Louisiana|Maine|Maryland|Massachusetts|Mexico|Michigan|Minnesota|Mississippi|Missouri|Montana|Nebraska|Nevada|New Hampshire|New Jersey|New Mexico|New York|North Carolina|North Dakota|Ohio|Oklahoma|Oregon|Pennsylvania|Puerto Rico|Rhode Island|South Carolina|South Dakota|Tennessee|Texas|Utah|Vermont|Virginia|Washington|West Virginia|Wisconsin|Wyoming,"-179.9,-14.8,-64.4,71.6","MULTIPOLYGON(((-178.44 28.52, -154.76 28.52, -154.76 18.86, -178.44 18.86, -178.44 28.52)),((-125.11 49.19, -66.66 49.19, -66.66 24.82, -125.11 24.82, -125.11 49.19)),((-179.3 51.1, -129.9 51.1, -129.9 71.5, -179.3 71.5, -179.3 51.1)))","28.4,-122.15",999-licensed-resources,,999-0010,,999-0010,,template_children,1,
Harvest record for General Land Office Township Plats: Minnesota,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-04-26 / harvest,draft,Custom data portal,,HTML,,2021-04-26,Manual curation,Irregular,template_children,2026-03-28 16:05:03 -0500,2026-04-22 19:00:06 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05a-03,05a-03,,05a-03,queue:pending_review,2026-04-22 ~ site changed to ArcGIS,,No Schedule,,2026-04-25,Due,General Land Office Township Plats: Minnesota,Minnesota Geospatial Information Office (MnGeo),Minnesota Geospatial Information Office (MnGeo),,Minnesota,"-97.24,43.5,-89.48,49.38","POLYGON((-97.24 49.38, -89.48 49.38, -89.48 43.5, -97.24 43.5, -97.24 49.38))","46.44,-93.36",77f-0001,,05a-03,http://www.mngeo.state.mn.us/glo/Index.htm,05a-03,,template_children,1,
Harvest record for Image and Multimedia Collections at the University of Nebraska-Lincoln,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-05-25 / harvest,draft,HTML/JS,,,,2021-05-25,Manual curation,Irregular,template_children,2026-03-28 16:05:06 -0500,2026-04-15 18:02:26 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_13d-02,13d-02,,13d-02,ogm,,,No Schedule,,,No Review,Image and Multimedia Collections at the University of Nebraska-Lincoln,University of Nebraska-Lincoln,,University of Nebraska-Lincoln,,,,,dc8c18df-7d64-4ff4-a754-d18d0891187d,,13d-02,https://mediacommons.unl.edu/,13d-02,,template_children,1,
Harvest record for Iowa parcels ,,Harvest record - temporary,,,,,,Series,,Data,,,,,,,,,,,,,,,,,,,2023-01-01 / harvest,draft,,,,,2023-01-01,Mediated deposit,Irregular,template_children,2026-03-29 11:35:49 -0500,2026-04-15 18:01:57 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_03d-06,78ebcce3-6558-430f-8c3c-7be8cb1fbda2,,03d-06,review:1y,Submitted by Jay Bowen along with guide on filtering c8996c0d-278b-4006-ad68-40009e0217e2,,No Schedule,,2024-01-01,Due,,,,,,,,,,,,,,,template_children,0,
Harvest record for Minnesota Geological Survey County Atlas Series,,Harvest record - temporary,,,,,,Series,,Maps,,,,,,,,,,,,,,,,,,,2021-04-26 / harvest,draft,,,,,2021-04-26,Manual curation,Irregular,template_children,2026-03-28 16:05:09 -0500,2026-04-15 18:02:30 -0500,,,,,,,,,,,,,,,,Public,true,,,,harvest_05d-04,05d-04,,05d-04,ogm|review:2y,,,No Schedule,,2023-04-26,Due,Minnesota Geological Survey County Atlas Series,Minnesota Geological Survey,,University of Minnesota,,"-97.24,43.5,-89.48,49.38","POLYGON((-97.24 49.38, -89.48 49.38, -89.48 43.5, -97.24 43.5, -97.24 49.38))","46.44,-93.36",64bd8c4c-8e60-4956-b43d-bdc3f93db488|dc8c18df-7d64-4ff4-a754-d18d0891187d,,05d-04,https://conservancy.umn.edu/handle/11299/57196,05d-04,,template_children,1,
