Code,Title,Identifier,Harvest Run,Harvest Message,Total Records Found,New Records,Unpublished Records
10b-55101,Harvest record for Racine County GIS Download,10b-55101,success,[ArcGIS] Fetched 10b-55101 — Racine County GIS Download,117,0,0
05b-27123,Harvest record for Ramsey County Open Data,05b-27123,success,[ArcGIS] Fetched 05b-27123 — Ramsey County Open Data,39,10,9
05b-27129,Harvest record for Renville County Open GIS Data,05b-27129,success,[ArcGIS] Fetched 05b-27129 — Renville County Open GIS Data,105,0,0
17c-01,Harvest record for RLIS Discovery,17c-01,success,[ArcGIS] Fetched 17c-01 — RLIS Discovery,249,0,0
05b-27137,Harvest record for Saint Louis County GIS & Mapping,05b-27137,success,[ArcGIS] Fetched 05b-27137 — Saint Louis County GIS & Mapping,19,0,0
13b-31153,Harvest record for Sarpy County GIS Portal,13b-31153,success,[ArcGIS] Fetched 13b-31153 — Sarpy County GIS Portal,184,0,0
10b-55111,Harvest record for Sauk County GIS Download,10b-55111,success,[ArcGIS] Fetched 10b-55111 — Sauk County GIS Download,33,0,0
05b-27139,Harvest record for Scott County Open Data,05b-27139,success,[ArcGIS] Fetched 05b-27139 — Scott County Open Data,88,0,0
16c-01,Harvest record for Seattle GeoData,16c-01,success,[ArcGIS] Fetched 16c-01 — Seattle GeoData,568,3,0
06f-01,Harvest record for SEMCOG Open Data,06f-01,success,[ArcGIS] Fetched 06f-01 — SEMCOG Open Data,68,0,0
11b-39047,Harvest record for Seneca County GeoLibrary,11b-39047,success,[ArcGIS] Fetched 11b-39047 — Seneca County GeoLibrary,87,0,0
05b-27141,Harvest record for Sherburne County Open Data,05b-27141,success,[ArcGIS] Fetched 05b-27141 — Sherburne County Open Data,72,0,0
16b-53061,Harvest record for Snohomish County Open Data Portal,16b-53061,success,[ArcGIS] Fetched 16b-53061 — Snohomish County Open Data Portal,86,0,0
09c-01,"Harvest record for South Bend, IN Open Data",09c-01,success,"[ArcGIS] Fetched 09c-01 — South Bend, IN Open Data",136,0,0
16b-53063,Harvest record for Spokane County GIS Data Catalog,16b-53063,success,[ArcGIS] Fetched 16b-53063 — Spokane County GIS Data Catalog,44,0,1
