Title,Creator,Publisher,Subject,Spatial Coverage,Bounding Box,Member Of,ID,Identifier,Code
"Evansville, Vanderburgh County, Indiana Open Data Collection",,Indiana--Evansville,Municipal government records|County government records,Indiana--Evansville|Indiana-Vanderburgh County|Indiana,"-87.701,37.826,-87.449,38.168",ba5cc745-21c5-4ae9-954b-72dd8db6815a,01b-18163,https://dev-evansvilleapc.opendata.arcgis.com,01b-18163
"Franklin County Auditor, Ohio Open Data",,Ohio--Franklin County,County government records,Ohio--Franklin County|Ohio,"-83.261,39.795,-82.762,40.143",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39049,https://auditor-fca.opendata.arcgis.com,11b-39049
Frederick County Open Data,,Maryland--Frederick County,County government records,Maryland--Frederick County|Maryland,"-77.677,39.220,-77.107,39.720",ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24021,https://gis-fcgmd.opendata.arcgis.com,04b-24021
"Geodata Hub of Vilas County, WI",,Wisconsin--Vilas County,County government records,Wisconsin--Vilas County|Wisconsin,"-89.152,46.119,-89.063,46.163",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55125-01,https://data-vilas.opendata.arcgis.com,10b-55125
"GIS Data Downloads for Madison County, Ohio",,Ohio--Madison County,County government records,Ohio--Madison County|Ohio,"-83.653,39.695,-83.206,40.111",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39097,https://madison-county-gis-data-download-madcoengineer.hub.arcgis.com/,11b-39097
"GIS Data Downloads for Muskingum County, Ohio",,Ohio--Muskingum County,County government records,Ohio--Muskingum County|Ohio,"-82.234,39.756,-81.691,40.167",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39119,https://muskingum-county-gis-muskcogis.hub.arcgis.com/,11b-39119
"GIS Divison of Eau Claire County, WI",,Wisconsin--Eau Claire County,County government records,Wisconsin--Eau Claire County|Wisconsin,"-91.595,44.756,-91.368,44.879",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55035,https://hub-eccounty.hub.arcgis.com/,10b-55035
"Grand Rapids, Michigan Open Data",,Michigan--Grand Rapids,Municipal government records,Michigan--Grand Rapids|Michigan,"-85.752,42.884,-85.569,43.029",ba5cc745-21c5-4ae9-954b-72dd8db6815a,07c-03,https://grdata-grandrapids.opendata.arcgis.com,07c-03
Grant County Open Data Hub,,Minnesota--Grant County,County government records,Minnesota--Grant County|Minnesota,"-96.266,45.759,-95.758,46.109",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27051,https://hub-co-grant-mn-us.hub.arcgis.com,05b-27051
Grant County Open Data Portal,,Washington (State)--Grant County,County government records,Washington (State)--Grant County|Washington (State),"-120.040,46.630,-118.970,47.960",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16b-53025,https://data-grantcountywa.opendata.arcgis.com,16b-53025
Greene County GIS Hub,,Ohio--Greene County,County government records,Ohio--Greene County|Ohio,"-84.114,39.550,-83.647,39.850",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39057,https://gishub-gimsoh29.opendata.arcgis.com/,11b-39057
"Hamilton County, Indiana Open Data Collection",,Indiana--Hamilton County,County government records,Indiana--Hamilton County|Indiana,"-86.243,39.926,-85.862,40.219",ba5cc745-21c5-4ae9-954b-72dd8db6815a,01b-18057,https://geohub.hamiltoncounty.in.gov,01b-18057
Harford County Planning and Zoning Open GIS,,Maryland--Harford County,County government records,Maryland--Harford County|Maryland,"-76.569,39.311,-76.065,39.721",ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24025,https://harford-county-gis-hub-harfordgis.hub.arcgis.com,04b-24025
Hennepin County GIS Data,,Minnesota--Hennepin County,County government records,Minnesota--Hennepin County|Minnesota,"-93.768,44.785,-93.177,45.247",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27053,https://gis-hennepin.hub.arcgis.com,05b-27053
Holmes County GIS Open Data Portal,,Ohio--Holmes County,County government records,Ohio--Holmes County|Ohio,"-82.221,40.444,-81.649,40.668",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39075,https://holmes-county-gis-holmesgis.hub.arcgis.com/,11b-39075
Hubbard County Open Geospatial Data,,Minnesota--Hubbard County,County government records,Minnesota--Hubbard County|Minnesota,"-95.183,46.804,-94.658,47.413",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27057,https://maps-hubbardcounty.opendata.arcgis.com,05b-27057
HUD-eGIS Geospatial Data Storefront,U.S. Department of Housing and Urban Development,United States,Federal government records,United States,"-179.149,18.910,179.778,71.365",ba5cc745-21c5-4ae9-954b-72dd8db6815a,1000-0001,https://hudgis-hud.opendata.arcgis.com,1000-0001
Illinois DOT Open Data Portal,,Illinois Department of Transportation,State government records,Illinois,"-91.513,36.970,-87.495,42.508",ba5cc745-21c5-4ae9-954b-72dd8db6815a,02a-04,https://gis-idot.opendata.arcgis.com,02a-04
IndianaMap,,Indiana,State government records,Indiana,"-88.100,37.772,-84.785,41.761",ba5cc745-21c5-4ae9-954b-72dd8db6815a,09a-04,https://www.indianamap.org,09a-04
Iowa Geodata,,Iowa,State government records,Iowa,"-96.640,40.376,-90.140,43.501",ba5cc745-21c5-4ae9-954b-72dd8db6815a,03a-03,https://geodata.iowa.gov,03a-03
IowaDOT Open Data,Iowa Department of Transportation,Iowa,State government records,Iowa,"-96.639,40.375,-90.140,43.501",ba5cc745-21c5-4ae9-954b-72dd8db6815a,03a-02,https://public-iowadot.opendata.arcgis.com,03a-02
