Title,Creator,Publisher,Subject,Spatial Coverage,Bounding Box,Member Of,ID,Identifier,Code
Saint Louis County GIS & Mapping,,Minnesota--St. Louis County,County government records,Minnesota--St. Louis County|Minnesota,"-93.097,46.649,-91.789,48.632",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27137,https://open-data-slcgis.hub.arcgis.com,05b-27137
Sarpy County GIS Portal,,Nebraska--Sarpy County,County government records,Nebraska--Sarpy County|Nebraska,"-96.339,40.996,-95.842,41.191",ba5cc745-21c5-4ae9-954b-72dd8db6815a,13b-31153,https://data2-sarpy.opendata.arcgis.com,13b-31153
Sauk County GIS Download,,Wisconsin--Sauk County,County government records,Wisconsin--Sauk County|Wisconsin,"-90.312,43.145,-89.599,43.642",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55111,https://data-saukgis.opendata.arcgis.com,10b-55111
Scott County Open Data,,Minnesota--Scott County,County government records,Minnesota--Scott County|Minnesota,"-93.912,44.545,-93.278,44.814",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27139,https://open-data-scottcounty.hub.arcgis.com,05b-27139
Seattle GeoData,,Washington (State)--Seattle,Municipal government records,Washington (State)--Seattle|Washington (State),"-122.460,47.481,-122.224,47.734",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16c-01,https://data-seattlecitygis.opendata.arcgis.com,16c-01
SEMCOG Open Data,"SEMCOG, Southeast Michigan Council of Governments",Michigan,Intergovernment records,Michigan,"-84.158,41.724,-82.418,43.169",ba5cc745-21c5-4ae9-954b-72dd8db6815a,06f-01,http://maps-semcog.opendata.arcgis.com,06f-01
Seneca County GeoLibrary,,Ohio--Seneca County,County government records,Ohio--Seneca County|Ohio,"-83.421,40.992,-82.830,41.257",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39047,https://portal-senecacountygis.hub.arcgis.com/,11b-39047
Sherburne County Open Data,,Minnesota--Sherburne County,County government records,Minnesota--Sherburne County|Minnesota,"-94.150,45.246,-93.510,45.560",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27141,https://data-sherburnegis.opendata.arcgis.com,05b-27141
Snohomish County Open Data Portal,,Washington (State)--Snohomish County,County government records,Washington (State)--Snohomish County|Washington (State),"-122.460,47.780,-120.910,48.300",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16b-53061,https://snohomish-county-open-data-portal-snoco-gis.hub.arcgis.com,16b-53061
"South Bend, IN Open Data",,Indiana--South Bend,Municipal government records,Indiana--South Bend|Indiana,"-86.361,41.597,-86.191,41.760",ba5cc745-21c5-4ae9-954b-72dd8db6815a,09c-01,http://data-southbend.opendata.arcgis.com,09c-01
Spokane County GIS Data Catalog,,Washington (State)--Spokane County,County government records,Washington (State)--Spokane County|Washington (State),"-117.820,47.260,-117.040,48.050",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16b-53063,https://gisdatacatalog-spokanecounty.opendata.arcgis.com,16b-53063
St. Croix County GIS Download,,Wisconsin--St. Croix County,County government records,Wisconsin--St. Croix County|Wisconsin,"-92.803,44.858,-92.135,45.210",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55109,https://gis-scccdd.opendata.arcgis.com,10b-55109
Stark County GIS Data,Stark County GIS (SCGIS),Ohio--Stark County,County government records,Ohio--Stark County|Ohio,"-81.650,40.635,-81.086,40.989",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39151,http://opendata.starkcountyohio.gov,11b-39151
State of Michigan Open Data Portal,,Michigan,State government records,Michigan,"-90.420,41.700,-82.120,48.310",ba5cc745-21c5-4ae9-954b-72dd8db6815a,06a-01,http://gis-michigan.opendata.arcgis.com,06a-01
State of Washington Geospatial Open Data Portal,WaTech Geospatial Program Office,Washington (State),State government records,Washington (State),"-124.760,45.540,-116.920,49.000",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16a-01,https://geo.wa.gov,16a-01
Stearns County GIS Data for Download,"Auditor/Treasurer's Office, GIS Division",Minnesota--Stearns County,County government records,Minnesota--Stearns County|Minnesota,"-95.140,45.282,-94.047,45.775",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27145,https://stearns-county-gis-stearns.hub.arcgis.com,05b-27145
Stevens County Geospatial Hub,,Minnesota--Stevens County,County government records,Minnesota--Stevens County|Minnesota,"-96.254,45.412,-95.745,45.761",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27149,https://geospatial-hub-stevens-county.hub.arcgis.com,05b-27149
Summit County GIS Data,,Ohio--Summit County,County government records,Ohio--Summit County|Ohio,"-81.688,40.907,-81.392,41.351",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39153,https://data-summitgis.opendata.arcgis.com,11b-39153
Tacoma Open Data,,Washington (State)--Tacoma,Municipal government records,Washington (State)--Tacoma|Washington (State),"-122.560,47.160,-122.340,47.310",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16c-03,https://data.tacoma.gov,16c-03
Three Rivers Park District Open Data,,Three Rivers Park District,Regional government records,Minnesota--Plymouth,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,05f-01,https://gis.threeriversparks.org,05f-01
Thurston GeoData Center,,Washington (State)--Thurston County,County government records,Washington (State)--Thurston County|Washington (State),"-123.200,46.760,-122.200,47.190",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16b-53067,https://gisdata-thurston.opendata.arcgis.com,16b-53067
Traverse County Open GIS Data,,Minnesota--Traverse County,County government records,Minnesota--Traverse County|Minnesota,"-96.857,45.585,-96.253,46.022",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27155,https://data-traversecountymn.opendata.arcgis.com/,05b-27155
UM Matthaei Botanical Gardens and Nichols Arboretum,University of Michigan,Michigan,State government records,Michigan,"-83.800,42.223,-83.676,42.324",dc8c18df-7d64-4ff4-a754-d18d0891187d,07d-02,https://mbgna-umich.hub.arcgis.com,07d-02
University of Chicago Library GIS Data Hub,University of Chicago Library,Illinois--Chicago,Municipal government records,Illinois--Chicago|Illinois,"-87.940,41.644,-87.524,42.023",dc8c18df-7d64-4ff4-a754-d18d0891187d,12d-03,http://library-uchicago.opendata.arcgis.com,12d-03
U.S. Fish and Wildlife Service Open Data,,U.S. Fish and Wildlife Service,Federal government records,United States,"-173.200,13.500,-64.400,71.600",ba5cc745-21c5-4ae9-954b-72dd8db6815a,1000-0003,https://gis-fws.opendata.arcgis.com,1000-0003
Walla Walla County GIS,,Washington (State)--Walla Walla County,County government records,Washington (State)--Walla Walla County|Washington (State),"-119.040,46.000,-117.990,46.610",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16b-53071,https://wallawallacountygis-wwcgis.hub.arcgis.com,16b-53071
Washington County GIS Download,,Minnesota--Washington County,County government records,Wisconsin--Washington County|Wisconsin,"-88.419,43.192,-88.040,43.544",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55131,https://gisdata.washcowisco.gov/,10b-55131
Washington County MN Geospatial Maps and Data,,Minnesota--Washington County,County government records,Minnesota--Washington County|Minnesota,"-93.020,44.750,-92.740,45.300",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27163,https://washington-county-mn-geospatial-maps-and-data-wcmn.hub.arcgis.com,05b-27163
"Washtenaw County, Michigan Open Data",,Michigan--Washtenaw County,County government records,Michigan--Washtenaw County|Michigan,"-84.134,42.072,-83.539,42.435",ba5cc745-21c5-4ae9-954b-72dd8db6815a,07b-26161,https://data-washtenaw.opendata.arcgis.com,07b-26161
Waukesha County GIS Download,,Wisconsin--Waukesha County,County government records,Wisconsin--Waukesha County|Wisconsin,"-88.542,42.842,-88.063,43.196",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55133,https://data-waukeshacounty.opendata.arcgis.com,10b-55133
Waupaca County GIS Download,,Wisconsin--Waupaca County,County government records,Wisconsin--Waupaca County|Wisconsin,"-89.225,44.243,-88.605,44.681",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55135,https://data2017-04-05t135915451z-waupacacounty.opendata.arcgis.com,10b-55135
Waushara County GIS Download,,Wisconsin--Waushara County,County government records,Wisconsin--Waushara County|Wisconsin,"-89.598,43.982,-88.886,44.246",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55137,https://data-waushara.opendata.arcgis.com,10b-55137
"Wilkin County, Minnesota Open Data",,Minnesota--Wilkin County,County government records,Minnesota--Wilkin County|Minnesota,"-96.791,46.022,-96.265,46.631",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27167,https://hub-wilkinco.hub.arcgis.com,05b-27167
Wisconsin Rapids Online Map Portal,,Wisconsin--Wisconsin Rapids,Municipal government records,Wisconsin--Wisconsin Rapids|Wisconsin,"-89.873,44.349,-89.746,44.427",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10c-04,https://rapidsdata-wisconsinrapids.opendata.arcgis.com,10c-04
Wood County Open Data Portal,,Wisconsin--Wood County,County government records,Wisconsin--Wood County|Wisconsin,"-89.598,43.982,-88.886,44.246",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55141,https://opendata.woodcogis.com,10b-55141
"Yakima County, WA - Open Data",,Washington (State)--Yakima County,County government records,Washington (State)--Yakima County|Washington (State),"-121.520,46.040,-119.870,47.090",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16b-53077,https://gis-yakimacounty.opendata.arcgis.com,16b-53077
Yellow Medicine County Hub,,Minnesota--Yellow Medicine County,County government records,Minnesota--Yellow Medicine County|Minnesota,"-96.452,44.542,-95.360,44.936",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27173,https://hub-yellowmedicine.hub.arcgis.com,05b-27173
"York County, PA GIS Open Data Portal",,Pennsylvania--York County,County government records,Pennsylvania--York County|Pennsylvania,"-77.137,39.720,-76.239,40.226",ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42133,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com,08b-42133
