Title,Creator,Publisher,Provider,Spatial Coverage,Bounding Box,Geometry,Centroid,Member Of,Is Part Of,ID,Identifier,Code
Open Data Kitsap County GIS,,Washington (State)--Kitsap County,,Washington (State)--Kitsap County|Washington (State),"-123.040,47.400,-122.430,47.970","POLYGON((-122.45 47.58, -122.45 47.54, -122.48 47.52, -122.54 47.4, -122.8 47.4, -122.8 47.52, -123.04 47.52, -122.93 47.63, -122.85 47.66, -122.76 47.68, -122.76 47.72, -122.72 47.79, -122.6 47.88, -122.64 47.94, -122.61 47.97, -122.5 47.93, -122.43 47.84, -122.44 47.79, -122.43 47.75, -122.46 47.68, -122.45 47.58))","47.685,-122.73500000000001",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,16b-53035,https://kitsap-od-kitcowa.hub.arcgis.com,16b-53035
Open Data Minneapolis,,Minnesota--Minneapolis,,Minnesota--Minneapolis|Minnesota,"-93.329,44.890,-93.194,45.051","POLYGON((-93.329 45.051, -93.194 45.051, -93.194 44.890, -93.329 44.890, -93.329 45.051))","44.9705,-93.2615",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,05c-01,https://opendata.minneapolismn.gov,05c-01
OpenDataPhilly,,"City of Philadelphia, Pennsylvania",,Pennsylvania--Philadelphia|Pennsylvania,"-75.280,39.867,-74.956,40.138","POLYGON((-75.280 40.138, -74.956 40.138, -74.956 39.867, -75.280 39.867, -75.280 40.138))","40.0025,-75.118",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,08c-01,https://www.opendataphilly.org,w00_01
OpenIndexMaps of the Mississippi River ArcGIS Online Story Map,,,,,"-95.399738004,37.7379604387,-89.0669971452,47.6551805844","POLYGON((-95.399738004 47.6551805844, -89.0669971452 47.6551805844, -89.0669971452 37.7379604387, -95.399738004 37.7379604387, -95.399738004 47.6551805844))","42.69657051155,-92.23336757460001",64bd8c4c-8e60-4956-b43d-bdc3f93db488,,1414-0000001,https://storymaps.arcgis.com/stories/c5888d46f39848aa9bd6479afcc6314a,w00_01
OpenIndy Data Portal,,"City of Indianapolis and Marion County, Indiana",,Indiana--Indianapolis|Indiana--Marion County|Indiana,"-86.328,39.632,-85.938,39.928","POLYGON((-86.328 39.928, -85.938 39.928, -85.938 39.632, -86.328 39.632, -86.328 39.928))","39.78,-86.13300000000001",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,01c-02,http://data.indy.gov,01c-02
Opioid Awareness|Peoria City/County Health Department,Peoria City/County Health Department,Illinois--Peoria County,,Illinois--Peoria County|Illinois,"-89.989,40.514,-89.447,40.975","POLYGON((-89.989 40.975, -89.447 40.975, -89.447 40.514, -89.989 40.514, -89.989 40.975))","40.7445,-89.718",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,12c-02,https://opioid-awareness-peoriacountygis.hub.arcgis.com,12c-02
Oregon GEOHub,State of Oregon,Oregon,,Oregon,"-124.570,41.990,-116.460,46.290","POLYGON((-124.57 46.29, -116.46 46.29, -116.46 41.99, -124.57 41.99, -124.57 46.29))","44.14,-120.51499999999999",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,17a-01,https://geohub.oregon.gov,17a-01
ORNL LandScan Viewer,Oak Ridge National Laboratory,Oak Ridge National Laboratory,,World,,,,b0153110-e455-4ced-9114-9b13250a7093,,88-0001,https://landscan.ornl.gov,88-0001
Otter Tail County Maps and Data Hub,,Minnesota--Otter Tail County,,Minnesota--Otter Tail County|Minnesota,"-96.281,46.106,-95.146,46.718","POLYGON((-96.281 46.718, -95.146 46.718, -95.146 46.106, -96.281 46.106, -96.281 46.718))","46.412000000000006,-95.71350000000001",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,05b-27111,https://opendata-otcgis.hub.arcgis.com/,05b-27111
Outgamie County Open Data,,Wisconsin--Outagamie County,,Wisconsin--Outagamie County|Wisconsin,"-90.045,45.464,-89.046,45.901","POLYGON((-90.045 45.901, -89.046 45.901, -89.046 45.464, -90.045 45.464, -90.045 45.901))","45.682500000000005,-89.5455",ba5cc745-21c5-4ae9-954b-72dd8db6815a,,10b-55087,https://data-ocgis.opendata.arcgis.com,10b-55087
