ID,Creator,Creator ID,Resource Type,Temporal Coverage,Date Issued,Date Range,Spatial Coverage,Bounding Box,GeoNames,Date Accessioned,Tags
59ceebfb-8832-4f1b-9497-2ed99061a0c3,"Sauer, Wm. C.",,,1919,1919,1919-1919,Michigan--Detroit|Michigan,"-83.288,42.255,-82.910,42.450",,,sprint-2021-05|2022-creator-sprint|202212bbox|sprint-2021-05
40226a52-b62f-419a-a035-b6b10f0d9a10,"Sauer, Wm. C.",,,1919,1919,1919-1919,Michigan--Detroit|Michigan,"-83.288,42.255,-82.910,42.450",,,sprint-2021-05|2022-creator-sprint|202212bbox|sprint-2021-05
6a901840-fd41-40fe-91d6-3b428363dc69,"Hondius, Hendrik, 1597-1651. Appendix Atlas of the British Isles and Northern Europe|Jansson, Jan, 1588-1664|Jansson, Jan, 1588-1664. Appendix Atlas of the British Isles and Northern Europe|Vignaud, Henry, 1830-1922, former owner.",null|fst00012480|null|null,,between 1630 and 1639,,1630-1639,United Kingdom--Scotland,"-8.000,54.780,-0.720,60.850",,2019-01-16,2022-creator-sprint|sprint-2021-05
4f3ee09f-fda4-43ba-81fa-4de9a92ce0bf,"Hondius, Hendrik, 1597-1651. Appendix Atlas of the British Isles and Northern Europe|Jansson, Jan, 1588-1664. Appendix Atlas of the British Isles and Northern Europe|Vignaud, Henry, 1830-1922, former owner.",null|null|null,,between 1630 and 1639,,1630-1639,United Kingdom--Scotland,"-8.43,56.77,-1.35,59.13",,2019-01-16,2022-creator-sprint|sprint-2021-05
1c1e5a0c-0181-46bb-a6bd-f52fac55ca6a,,,Military maps|Topographic maps,1862,1862,1862-1862,United States,"-81.144,37.488,-76.969,39.956",http://sws.geonames.org/6252001,2021-04-16,sprint-2021-05|202212bbox|sprint-2021-05
485d180f-4598-4e15-ad0a-69b036118ad1,Geological Survey (U.S.)|United States. National Park Service,fst00547115|fst00530450,,2003,,2003-2003,California--Sequoia National Park|California,"-119.08,36.25,-118.17,37.25",,2019-01-16,2022-creator-sprint|sprint-2021-05
71d4012f-5615-4f70-9257-9357316bfdaf,"Hashimoto, Chōgetsu.",null,,Meiji 12 1879,,1879-1879,Japan-- Ōsaka--Osaka|Japan,"135.31,34.59,135.55,34.78",,2019-01-16,2022-creator-sprint|sprint-2021-05
e38905ff-cc78-4c78-a9e7-3f2c8a90fb2c,"Graham, J. D. (James Duncan), 1799-1865|O'Donoghue, John, 1946-|United States. Army. Corps of Topographical Engineers",fst00245874|null|fst00531525,,1856,1857,1856-1856,Wisconsin--Sheboygan Bay|Wisconsin,"-87.761,43.725,-87.685,43.780",,2019-01-16,bbox-verified_2023-02-27|sprint-mar2020|2022-creator-sprint|bboxSprintJune2023|sprint-2021-05
17f28ea2-e766-4fa3-acbb-254694d90e3a,,,,,Meiji 24 1891,1891-1891,Japan,"139.71,35.56,139.87,35.72",http://sws.geonames.org/1850147,2021-04-16,sprint-2021-05
82dbde92-216c-42c9-a034-86ac614fb398,Japan. Rikugun. Sanbō Honbu,fst00553179,,between 1890 and 1899,1890,1890-1899,China--People's Republic of China,"116.3,29.98,123.12,35.18",,2019-01-16,sprint-mar2020|2022-creator-sprint|sprint-2021-05
71ebd0a1-461d-40af-8a12-649413a57eb2,"Harimaya, Kyūbē|Kikuya, Shichirobē",fst02013780|null,,Tenmei 7 1787,,1787-1787,Japan-- Ōsaka--Osaka|Japan,"135.46,34.65,135.54,34.7",,2019-01-16,2022-creator-sprint|sprint-2021-05
8c8c9e23-709e-4e7b-ae9b-8e79d4c18db7,"Monji, Tominosuke.",null,,Meiji 12 1879,,1879-1879,Japan-- Kyoto--Kyoto|Japan,"135.71,34.95,135.8,35.06",,2019-01-16,2022-creator-sprint|sprint-2021-05
364d2c13-4e36-48fe-8c8e-54cc8199cc27,"Nagamatsu, Sakunosuke.",,,Meiji 22 1889,,1889-1889,Japan-- Tokyo--Tokyo|Japan,"139.620,35.500,140.000,35.620",,2019-01-16,2022-creator-sprint|sprint-2021-05
953e6161-08b0-4337-9a00-f361bdaf4c6e,"Inoguchi, Matsunosuke.",null,,Meiji 26 1893,,1893-1893,Japan-- Tokyo--Tokyo|Japan,"139.7,35.6,139.87,35.78",,2019-01-16,2022-creator-sprint|sprint-2021-05
d6c8525c-a0be-4925-8760-7e8db16e8763,"Sagano, Hikotarō.",null,,Meiji 34 1901,,1901-1901,Japan-- Tokyo--Tokyo|Japan,"139.67,35.5,139.83,35.83",,2019-01-16,2022-creator-sprint|sprint-2021-05
9e0111b9-b6d8-4c31-a846-6c81aae201bd,,,,,Meiji 25 1892,1892-1892,Japan,"129.4,31.04,148.41,45.61",http://sws.geonames.org/1855608,2021-04-16,bbox-verified_2023-02-27|BBoxButFlagged|bboxSprintJune2023|sprint-2021-05
e54379c0-66da-4bb5-b166-161c4706659a,,,,,Meiji 27 1894,1894-1894,Japan,"129.4,31.04,148.41,45.61",http://sws.geonames.org/1853313,2021-04-16,bbox-verified_2023-02-27|BBoxButFlagged|bboxSprintJune2023|sprint-2021-05
d38ae31f-b400-4fa4-aea8-3a95135244e2,"Jansson, Jan, 1588-1664|Jansson, Jan, 1588-1664. Atlantis Maioris Appendix, 1630|Vignaud, Henry, 1830-1922, former owner.",fst00012480|null|null,,1630,,1630-1630,Poland--Lower Silesian Voivodeship|Poland,"14.05,49.48,19.97,52.45",,2019-01-16,2022-creator-sprint|sprint-2021-05
18ab61e1-189f-4b2a-a75e-6b2a02ea0ac8,[creator not identified],,Military maps|Early maps,between 1790 and 1799,n.d.,1790-1790,Germany-- Saxony--Dresden|Germany,"13.730,51.000,13.830,51.070",,2019-01-16,2022-creator-sprint|sprint-2021-05
