ID,Identifier,created_at,assignment_origin
02a14989-f313-4b3d-8ced-ba74c9bf545b,"https://quod.lib.umich.edu/c/clark1ic/x-004205230/39015091191521_01|https://quod.lib.umich.edu/cgi/i/image/api/search/clark1ic:004205230|oai:quod.lib.umich.edu:IC-CLARK1IC-X-004205230%5D39015091191521_01|http://name.umdl.umich.edu/IC-CLARK1IC-X-004205230%5D39015091191521_01|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/004205230/39015091191521_01/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:004205230:39015091191521_01|004205230; 02a14989-f313-4b3d-8ced-ba74c9bf545b",2026-09-07T13:44:02.565516+00:00,existing
02cb6d0e-ded7-4d04-b0b6-6a3449aeb238,"https://quod.lib.umich.edu/c/clark1ic/x-004074048/39015091191489_01|https://quod.lib.umich.edu/cgi/i/image/api/search/clark1ic:004074048|oai:quod.lib.umich.edu:IC-CLARK1IC-X-004074048%5D39015091191489_01|http://name.umdl.umich.edu/IC-CLARK1IC-X-004074048%5D39015091191489_01|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/004074048/39015091191489_01/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:004074048:39015091191489_01|004074048; 02cb6d0e-ded7-4d04-b0b6-6a3449aeb238",2026-09-07T13:44:02.565553+00:00,existing
031a3f69-8f47-4cf1-b303-162f3669c104,"https://quod.lib.umich.edu/c/clark1ic/x-000887581/39015091921513_01|https://quod.lib.umich.edu/cgi/i/image/api/search/clark1ic:000887581|oai:quod.lib.umich.edu:IC-CLARK1IC-X-000887581%5D39015091921513_01|http://name.umdl.umich.edu/IC-CLARK1IC-X-000887581%5D39015091921513_01|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/000887581/39015091921513_01/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:000887581:39015091921513_01|000887581; 031a3f69-8f47-4cf1-b303-162f3669c104|oai:quod.lib.umich.edu:IC-CLARK1IC-X-000887581%5D39015091921513_02|http://name.umdl.umich.edu/IC-CLARK1IC-X-000887581%5D39015091921513_02|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/000887581/39015091921513_02/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:000887581:39015091921513_02|oai:quod.lib.umich.edu:IC-CLARK1IC-X-000887581%5D39015091921513_03|http://name.umdl.umich.edu/IC-CLARK1IC-X-000887581%5D39015091921513_03|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/000887581/39015091921513_03/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:000887581:39015091921513_03",2026-09-07T13:44:02.565618+00:00,existing
037a8e4f-2a62-4cd1-88c4-ea2904cf776f,"https://quod.lib.umich.edu/c/clark1ic/x-000081056/39015095413343|https://quod.lib.umich.edu/cgi/i/image/api/search/clark1ic:000081056|oai:quod.lib.umich.edu:IC-CLARK1IC-X-000081056%5D39015095413343|http://name.umdl.umich.edu/IC-CLARK1IC-X-000081056%5D39015095413343|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/000081056/39015095413343/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:000081056:39015095413343|000081056; 037a8e4f-2a62-4cd1-88c4-ea2904cf776f",2026-09-07T13:44:02.565655+00:00,existing
0428403d-184c-46b0-b03c-5325ae982971,"https://quod.lib.umich.edu/c/clark1ic/x-011236601/39015091881238|https://quod.lib.umich.edu/cgi/i/image/api/search/clark1ic:011236601|oai:quod.lib.umich.edu:IC-CLARK1IC-X-011236601%5D39015091881238|http://name.umdl.umich.edu/IC-CLARK1IC-X-011236601%5D39015091881238|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/011236601/39015091881238/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:011236601:39015091881238|011236601; 0428403d-184c-46b0-b03c-5325ae982971",2026-09-07T13:44:02.565695+00:00,existing
04351e47-6b75-4bd5-92e9-4a1ce5c31702,"https://quod.lib.umich.edu/c/clark1ic/x-000887832/39015091921315_01|https://quod.lib.umich.edu/cgi/i/image/api/search/clark1ic:000887832|oai:quod.lib.umich.edu:IC-CLARK1IC-X-000887832%5D39015091921315_01|http://name.umdl.umich.edu/IC-CLARK1IC-X-000887832%5D39015091921315_01|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/000887832/39015091921315_01/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:000887832:39015091921315_01|000887832; 04351e47-6b75-4bd5-92e9-4a1ce5c31702|oai:quod.lib.umich.edu:IC-CLARK1IC-X-000887832%5D39015091921315_02|http://name.umdl.umich.edu/IC-CLARK1IC-X-000887832%5D39015091921315_02|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/000887832/39015091921315_02/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:000887832:39015091921315_02",2026-09-07T13:44:02.565751+00:00,existing
0457164a-d2d9-46b4-9d1d-f66623368c0d,"https://quod.lib.umich.edu/c/clark1ic/x-003286845/39015091196751|https://quod.lib.umich.edu/cgi/i/image/api/search/clark1ic:003286845|oai:quod.lib.umich.edu:IC-CLARK1IC-X-003286845%5D39015091196751|http://name.umdl.umich.edu/IC-CLARK1IC-X-003286845%5D39015091196751|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/003286845/39015091196751/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:003286845:39015091196751|003286845; 0457164a-d2d9-46b4-9d1d-f66623368c0d",2026-09-07T13:44:02.565790+00:00,existing
04590ab3-5305-4fc2-9c0f-21d47f52ae5c,"https://quod.lib.umich.edu/c/clark1ic/x-008459367/39015091195407_01|https://quod.lib.umich.edu/cgi/i/image/api/search/clark1ic:008459367|oai:quod.lib.umich.edu:IC-CLARK1IC-X-008459367%5D39015091195407_01|http://name.umdl.umich.edu/IC-CLARK1IC-X-008459367%5D39015091195407_01|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/008459367/39015091195407_01/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:008459367:39015091195407_01|008459367; 04590ab3-5305-4fc2-9c0f-21d47f52ae5c|oai:quod.lib.umich.edu:IC-CLARK1IC-X-008459367%5D39015091195407_02|http://name.umdl.umich.edu/IC-CLARK1IC-X-008459367%5D39015091195407_02|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/008459367/39015091195407_02/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:008459367:39015091195407_02|oai:quod.lib.umich.edu:IC-CLARK1IC-X-008459367%5D39015091195407_03|http://name.umdl.umich.edu/IC-CLARK1IC-X-008459367%5D39015091195407_03|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/008459367/39015091195407_03/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:008459367:39015091195407_03|oai:quod.lib.umich.edu:IC-CLARK1IC-X-008459367%5D39015091195407_04|http://name.umdl.umich.edu/IC-CLARK1IC-X-008459367%5D39015091195407_04|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/008459367/39015091195407_04/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:008459367:39015091195407_04",2026-09-07T13:44:02.565871+00:00,existing
0469f3b8-bfef-44db-b0ea-65d35f82399d,"https://quod.lib.umich.edu/c/clark1ic/x-003107758/39015091920564_01|https://quod.lib.umich.edu/cgi/i/image/api/search/clark1ic:003107758|oai:quod.lib.umich.edu:IC-CLARK1IC-X-003107758%5D39015091920564_01|http://name.umdl.umich.edu/IC-CLARK1IC-X-003107758%5D39015091920564_01|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/003107758/39015091920564_01/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:003107758:39015091920564_01|003107758; 0469f3b8-bfef-44db-b0ea-65d35f82399d|oai:quod.lib.umich.edu:IC-CLARK1IC-X-003107758%5D39015091920564_02|http://name.umdl.umich.edu/IC-CLARK1IC-X-003107758%5D39015091920564_02|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/003107758/39015091920564_02/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:003107758:39015091920564_02|oai:quod.lib.umich.edu:IC-CLARK1IC-X-003107758%5D39015091920564_03|http://name.umdl.umich.edu/IC-CLARK1IC-X-003107758%5D39015091920564_03|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/003107758/39015091920564_03/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:003107758:39015091920564_03",2026-09-07T13:44:02.565938+00:00,existing
04a685d1-50c9-447a-8396-d012ef295bd2,"https://quod.lib.umich.edu/c/clark1ic/x-012464749/39015095390392|https://quod.lib.umich.edu/cgi/i/image/api/search/clark1ic:012464749|oai:quod.lib.umich.edu:IC-CLARK1IC-X-012464749%5D39015095390392|http://name.umdl.umich.edu/IC-CLARK1IC-X-012464749%5D39015095390392|https://quod.lib.umich.edu/cgi/i/image/api/thumb/clark1ic/012464749/39015095390392/!250,250|https://quod.lib.umich.edu/cgi/i/image/api/manifest/clark1ic:012464749:39015095390392|012464749; 04a685d1-50c9-447a-8396-d012ef295bd2",2026-09-07T13:44:02.565977+00:00,existing
