Code,Title,Identifier,Harvest Run,Harvest Message,Total Records Found,New Records,Unpublished Records
07c-02,Harvest record for Ann Arbor Data Catalog,07c-02,success,[CKAN] Fetched 93 package records from 07c-02.,93,93,0
08f-01,Harvest record for Western Pennsylvania Regional Data Center Open Data,08f-01,success,[CKAN] Fetched 368 package records from 08f-01.,368,5,2
10c-01,Harvest record for City of Milwaukee Open Data,10c-01,success,[CKAN] Fetched 186 package records from 10c-01.,186,186,0
TOTAL,,,success: 3; error: 0,,647,284,2
