ID,Code,Title,Description,Resource Class,Publication State,Website Platform,Endpoint URL,Endpoint Description,Is Harvested,Last Harvested,Accrual Method,Accrual Periodicity,Harvest Workflow,Access Rights,Suppressed Record,Identifier,Tags,Admin Note
harvest_12d-03,12d-03,Harvest record for University of Chicago Library GIS Data Hub,Harvest record - temporary,Series,draft,ArcGIS Hub,http://library-uchicago.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,12d-03,,
harvest_12f-01,12f-01,Harvest record for CMAP (Chicago Metropolitan Agency for Planning) Data Hub,Harvest record - temporary,Series,draft,ArcGIS Hub,https://datahub.cmap.illinois.gov/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,12f-01,,
harvest_13a-01,13a-01,Harvest record for NebraskaMap,Harvest record - temporary,Series,draft,ArcGIS Hub,https://www.nebraskamap.gov/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,13a-01,,
harvest_13a-04,13a-04,Harvest record for Nebraska Game & Parks Map and Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data-outdoornebraska.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,13a-04,,
harvest_13b-31055,13b-31055,Harvest record for Omaha/Douglas County GIS Open Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data-dogis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,13b-31055,,
harvest_13b-31153,13b-31153,Harvest record for Sarpy County GIS Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data2-sarpy.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,13b-31153,,
harvest_13c-01,13c-01,Harvest record for Lincoln Open Data and Performance Management,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data2-lincolnne.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,13c-01,,
harvest_13c-02,13c-02,Harvest record for City of Grand Island Public GIS Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data-cityofgi.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,13c-02,,
harvest_14a-01,14a-01,Harvest record for New Jersey Geographic Information Network (NJGIN) Open Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://njogis-newjersey.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,14a-01,,
harvest_14a-02,14a-02,Harvest record for New Jersey Department of Environmental Protection's (NJDEP) Bureau of GIS,Harvest record - temporary,Series,draft,ArcGIS Hub,https://gisdata-njdep.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,14a-02,,
harvest_14c-01,14c-01,Harvest record for City of Newark GIN,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data-newgin.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,14c-01,,
