set,title,match_terms,already_listed
node:132543,"Atlas of Sac County, Iowa, 1912",atlas,no
node:308761,"Atlas of Scott County, Iowa, 1894",atlas,no
node:41993,"Atlas of Scott County, Iowa, 1894 4 Supplemental pages",atlas,no
node:56203,"Atlas of Scott County, Iowa, 1905",atlas,no
node:294012,"Atlas of Shelby County, Iowa, 1921",atlas,no
node:27970,"Atlas of Sioux County, Iowa, 1913",atlas,no
node:241819,"Atlas of Sioux County, Iowa, 1923",atlas,no
node:203338,"Atlas of Sioux County, Iowa, circa 1928",atlas,no
node:60752,"Atlas of Story County, Iowa, 1902",atlas,no
node:59352,"Atlas of Story County, Iowa, 1919",atlas,no
node:202947,"Atlas of Tama County, Iowa, 1875",atlas,no
node:210193,"Atlas of Tama County, Iowa, 1916",atlas,no
node:65761,"Atlas of Taylor County, Iowa, and the World, 1923",atlas,no
node:415041,"Atlas of the State of Iowa, 1904",atlas,no
node:122639,"Atlas of Warren County, Iowa, 1872",atlas,no
node:41473,"Atlas of Warren County, Iowa, 1902",atlas,no
node:178602,"Atlas of Warren County, Iowa, 1902-1903",atlas,no
node:201571,"Atlas of Warren County, Iowa, 1915",atlas,no
node:220978,"Atlas of Washington County, Iowa, 1874",atlas,no
node:36983,"Atlas of Washington County, Iowa, 1906",atlas,no
node:3193,"Atlas of Washington County, Iowa, 1920",atlas,no
node:389809,"Atlas of Winnebago County, Iowa, 1905",atlas,no
node:209301,"Atlas of Winnebago County, Iowa, 1913",atlas,no
node:145922,"Atlas of Winnebago County, Iowa, 1928",atlas,no
node:25343,"Atlas of Woodbury County, Iowa, 1917",atlas,no
node:187143,"Combination Atlas Map of Henry County, Iowa, 1870",atlas,no
node:156803,"Combination atlas map of Johnson County, Iowa, 1870",atlas,no
node:105156,"County Atlas of Appanoose County, Iowa, 1908",atlas,no
node:176930,"Drainage Atlas of Palo Alto County, Iowa, 1919",atlas,no
node:316427,"Hancock County Atlas, Iowa, 1905?",atlas,no
node:21808,"Haskell's New Indexed Atlas of Muscatine County, Iowa, 1884",atlas,no
node:351315,"Illustrated Atlas of Black Hawk County, Iowa, 1896",atlas,no
node:315639,"Illustrated Atlas of Harrison County, Iowa, 1884",atlas,no
node:55012,"Illustrated Atlas of Pottawattamie County, Iowa, 1885",atlas,no
node:149404,"Jefferson County Atlas, 1936",atlas,no
node:273478,"Johnson County, Iowa, atlas, 1939",atlas,no
node:699049,"New Atlas of Linn County, Iowa, 1938",atlas,no
node:72338,"New Sectional Atlas of Jones County, Iowa, 1877",atlas,no
node:242283,"Plat Book and Complete Survey of Polk County, Iowa, 1914",plat book,no
node:245790,"Plat book of Allamakee County, Iowa, 1886",plat book,no
node:117436,"Plat Book of Benton County, Iowa, 1885",plat book,no
node:400317,"Plat Book of Boone County, Iowa, 1896",plat book,no
node:16773,"Plat Book of Bremer County, Iowa, 1894",plat book,no
node:97963,"Plat Book of Buchanan County, Iowa, 1886",plat book,no
node:100089,"Plat Book of Butler County, Iowa, 1895",plat book,no
node:3149,"Plat book of Cerro Gordo County, Iowa, 1895",plat book,no
node:20207,"Plat Book of Chickasaw County, Iowa, 1892",plat book,no
node:190586,"Plat Book of Clay County, Iowa, 1887",plat book,no
node:30935,"Plat Book of Clayton County, Iowa, 1886",plat book,no
node:273918,"Plat Book of Clinton County, Iowa, 1894",plat book,no
node:148284,"Plat Book of Davis County, Iowa, 1891",plat book,no
node:219003,"Plat Book of Decatur County, Iowa, 1894",plat book,no
node:100465,"Plat Book of Des Moines County, Iowa, 1897",plat book,no
node:106844,"Plat book of Dubuque County, Iowa, 1892",plat book,no
node:198440,"Plat Book of Fayette County, Iowa, 1879",plat book,no
node:142553,"Plat book of Fayette County, Iowa, 1896",plat book,no
node:182264,"Plat book of Floyd County, Iowa, 1895",plat book,no
node:193852,"Plat Book of Fremont County, Iowa, 1891",plat book,no
node:56857,"Plat Book of Greene County, Iowa, 1896",plat book,no
node:231822,"Plat Book of Grundy County, Iowa, 1884",plat book,no
node:135887,"Plat book of Hancock County, Iowa, 1896",plat book,no
node:65489,"Plat book of Hancock County, Iowa, 1896 4 Supplementary maps and information",plat book,no
node:177014,"Plat book of Hardin County, Iowa, 1892",plat book,no
node:77334,"Plat Book of Hardin County, Iowa, 1903",plat book,no
node:264319,"Plat Book of Humboldt County, Iowa, 1896",plat book,no
node:45982,"Plat Book of Iowa County, Iowa, 1886",plat book,no
node:87607,"Plat Book of Jackson County, Iowa, 1893",plat book,no
node:181947,"Plat Book of Jones County, Iowa, 1893",plat book,no
node:277649,"Plat Book of Jones County, Iowa, 1893",plat book,no
node:12407,"Plat book of Lee County, Iowa, 1897",plat book,no
node:186859,"Plat Book of Linn County, Iowa, 1930",plat book,no
node:35549,"Plat Book of Lucas County, Iowa, 1896",plat book,no
node:239946,"Plat Book of Marshall County, Iowa, 1885",plat book,no
node:460305,"Plat Book of Monona County, Iowa, 1937",plat book,no
node:42233,"Plat Book of Monroe County, Iowa, 1902",plat book,no
node:301715,"Plat Book of Page County, Iowa, 1902",plat book,no
node:141067,"Plat Book of Ringgold County, Iowa, 1894",plat book,no
node:553384,"Plat Book of Tama County, Iowa, 1892",plat book,no
node:334731,"Plat Book of Tama County, Iowa, 1897",plat book,no
node:11172,"Plat book of Taylor County, Iowa, 1894",plat book,no
node:39324,"Plat book of Union County, Iowa, 1894",plat book,no
node:70969,"Plat book of Van Buren County, 1897",plat book,no
node:31071,"Plat Book of Wayne County, Iowa, 1897",plat book,no
node:66629,"Plat book of Winneshiek County, Iowa, 1886",plat book,no
node:24707,"Republican Atlas of Boone County, Iowa, 1902",atlas,no
node:203667,"Souvenir Atlas of Story County, Iowa, 1908",atlas,no
node:104267,"Souvenir Atlas of Tama County, Iowa, 1909",atlas,no
node:166164,"Standard atlas of Adair County, Iowa, 1901",atlas,no
node:45281,"Standard Atlas of Adams County, Iowa, 1905",atlas,no
node:4990,"Standard Atlas of Benton County, Iowa, 1901",atlas,no
node:30351,"Standard Atlas of Bremer County, Iowa, 1917",atlas,no
node:51147,"Standard Atlas of Calhoun County, Iowa, 1911",atlas,no
node:123619,"Standard Atlas of Cass County, Iowa, 1900",atlas,no
node:129339,"Standard Atlas of Cherokee County, Iowa, 1907",atlas,no
node:126835,"Standard Atlas of Clay County, Iowa, 1909",atlas,no
node:182173,"Standard Atlas of Clayton County, Iowa, 1902",atlas,no
node:63574,"Standard Atlas of Clayton County, Iowa, 1902",atlas,no
node:33109,"Standard Atlas of Crawford County, Iowa, 1908",atlas,no
node:150475,"Standard Atlas of Davis County, Iowa, 1912",atlas,no
node:88841,"Standard atlas of Dickinson County, Iowa, 1911",atlas,no
node:239474,"Standard atlas of Emmet County, Iowa, 1918",atlas,no
node:679542,"Standard atlas of Floyd County, Iowa, 1913",atlas,no
node:127333,"Standard Atlas of Greene County, Iowa, 1917",atlas,no
node:175326,"Standard Atlas of Henry County, Iowa, 1917",atlas,no
node:114253,"Standard Atlas of Iowa County, Iowa, 1917",atlas,no
node:236428,"Standard Atlas of Jefferson County, Iowa, 1909",atlas,no
node:33915,"Standard Atlas of Lee County, Iowa, 1916",atlas,no
node:201693,"Standard Atlas of Louisa County, Iowa, 1899-1900",atlas,no
node:217988,"Standard atlas of Lyon County, Iowa, 1911",atlas,no
node:158653,"Standard Atlas of Monroe County, Iowa, 1919",atlas,no
node:199260,"Standard Atlas of Montgomery County, Iowa, 1907",atlas,no
node:145533,"Standard atlas of O'Brien County, Iowa, 1911",atlas,no
node:2333,"Standard Atlas of Osceola County, Iowa, 1911",atlas,no
node:76918,"Standard Atlas of Palo Alto County, Iowa, 1908",atlas,no
node:54366,"Standard Atlas of Shelby County, Iowa, 1911",atlas,no
node:12314,"Standard Atlas of Union County, Iowa, 1916",atlas,no
node:14314,"Standard atlas of Wapello County, Iowa, 1908",atlas,no
node:2405,"Standard atlas of Wapello County, Iowa, 1908",atlas,no
node:53853,"Standard atlas of Wapello County, Iowa, 1908 3 Town Plats",atlas,no
node:100747,"Standard atlas of Wapello County, Iowa, 1922",atlas,no
node:341708,"Standard atlas of Webster County, Iowa, 1909",atlas,no
node:267133,"Standard Atlas of Wright County, Iowa, 1912",atlas,no
node:108475,"Standard Historical Atlas of Franklin County, Iowa, 1908",atlas,no
node:26210,"Standard Historical Atlas of Hamilton County, Iowa, 1918",atlas,no
node:21148,"Standard Historical Atlas of Jasper County, Iowa, 1901",atlas,no
node:74592,"Standard historical atlas of Mills and Fremont Counties, Iowa, 1910",atlas,no
node:12255,"Standard Historical Atlas of Mitchell County, Iowa, 1911",atlas,no
node:75460,"Standard historical atlas of Plymouth County, Iowa 1907",atlas,no
node:66382,"Standard Historical Atlas of Sioux County, Iowa, 1908",atlas,no
node:244482,"Standard Historical Atlas of Worth County, Iowa, 1913",atlas,no
node:87641,"Tate's atlas of Des Moines, Iowa, 1899",atlas,no
node:15121,"Township plat book of Delaware County, Iowa, 1894",plat book,no
node:79401,"Tri-County Farmers Institute Atlas: Covering Parts of Scott, Muscatine, and Cedar Counties, Iowa, 1921",atlas,no
