name,order,type,field_uri,description,definition,separator,constraints
Tags,53,string,b1g_adminTags_sm,Administrative keywords for internal tracking,https://gin.btaa.org/metadata/b1g/#admin-tags,,
Provenance,54,string,b1g_dct_provenance_sm,Plain-language summary of how the record was obtained,https://gin.btaa.org/metadata/b1g/#provenance-statement,,
Website Platform,55,string,b1g_websitePlatform_s,Technology platform used by the website,https://gin.btaa.org/metadata/b1g/#website-platform,|,
Is Harvested,56,string,b1g_isHarvested_b,Whether the website is actively harvested,https://gin.btaa.org/metadata/b1g/#is-harvested,,
Last Harvested,57,datetime,b1g_lastHarvested_dt,Date the website was last harvested,https://gin.btaa.org/metadata/b1g/#last-harvested,,
Endpoint Description,58,string,b1g_dcat_endpointDescription_s,Type of API or link used to access the resource ,https://gin.btaa.org/metadata/b1g/#endpoint-description,,
Endpoint URL,59,string,b1g_dcat_endpointURL_s,URL from which the resource was harvested,https://gin.btaa.org/metadata/b1g/##endpoint-url,,
Accrual Method,60,string,b1g_dct_accrualMethod_s,Method used to obtain the metadata,https://gin.btaa.org/metadata/b1g/#accrual-method,,
Accrual Periodicity,61,string,b1g_dct_accrualPeriodicity_s,Frequency at which a website is harvested,https://gin.btaa.org/metadata/b1g/#accrual-periodicity,,
Harvest Workflow,62,string,b1g_harvestWorkflow_s,Workflow that produced the record,https://gin.btaa.org/metadata/b1g/#harvest-workflow,,
Admin Note,63,string,b1g_adminNote_sm,"Internal notes about status, issues, or enrichment",https://gin.btaa.org/metadata/b1g/#admin-note,|,
